imovel_Id;tipoImovel;valorImovel;areaRealPrivativa;latitude;longitude;quartos;banho;suites;vagaGaragem;valorCondominio;valorIptu;Cidade;Regiao;Bairro;Endereco
351594;Cobertura;240000;100;-19,801882;-43,982875;2;1;0;1;200;0;belo-horizonte;venda-nova;Mantiqueira;Rua Jos� F�lix Martins, 575
353747;Cobertura;240000;101;-19,809049;-43,980815;2;1;0;1;200;76;belo-horizonte;venda-nova;Let�cia;Rua Em�dio Furtado, 460
357375;Apartamento 3 quartos;240000;54;-19,9555594;-43,9772052;3;1;0;1;223;63;belo-horizonte;oeste;Hava�;Rua Maria Beatriz, 1058
1826045;�rea Privativa;240000;110;-19,898537;-43,995048;2;1;1;2;130;95,31;belo-horizonte;pampulha;Castelo;Rua Leopoldo Campos Nunes, 591
3336871;Apartamento 2 quartos;240000;60;-19,881595;-43,93555;2;2;1;1;400;57,88;belo-horizonte;nordeste;Ipiranga;Rua Jos� Clemente Pereira, 7
3270432;Apartamento 3 quartos;245000;60;-19,9802511;-43,9734543;3;1;0;1;180;85;belo-horizonte;oeste;Buritis;Rua Pedro Natal�cio de Morais, 400
3252690;Cobertura;250000;123;-19,9343371;-43,952636;4;1;0;0;104;88,78;belo-horizonte;centro-sul;Barro Preto;Avenida do Contorno, 10673
3254576;Apartamento 2 quartos;250000;82;-19,8325434;-43,9672789;2;1;0;2;198;89,4;belo-horizonte;pampulha;Santa Branca;Rua J�lio Diniz, 377
3269105;Loja;250000;40;-19,976653;-43,9438859;0;0;0;0;610,56;133,34;belo-horizonte;centro-sul;Belvedere;Rua Sebasti�o Fabiano Dias, 210
3246866;Apartamento 2 quartos;254900;70;-19,9604323;-43,9664699;2;1;0;2;280;80;belo-horizonte;oeste;Estoril;Rua M�rio Coutinho, 601
339547;Apartamento 3 quartos;260000;75;-19,9449114;-43,9645971;3;2;1;1;250;78,49;belo-horizonte;oeste;Graja�;Rua Marechal Jofre, 237
340859;Apartamento 3 quartos;260000;79;-19,8835509;-43,9568455;3;1;0;1;303;677,26;belo-horizonte;noroeste;Nova Cachoeirinha;Rua Frei Cipriano, 133
